TAIR Accession	Locus	Gene Type	Description	Other Name(Type)	Keywords
Locus:2194584	AT1G10470	protein_coding	Encodes a two-component response regulator. Acts redundantly with ARR3 in the control of circadian period in a cytokinin-independent manner.	ARR4;ATRR1;IBC7;INDUCED BY CYTOKININ 7;MEE7;RESPONCE REGULATOR 1;RESPONSE REGULATOR 4;maternal effect embryo arrest 7	circadian rhythm;cytokinin-activated signaling pathway;embryo development ending in seed dormancy;protein autophosphorylation;red or far-red light signaling pathway;regulation of DNA-templated transcription;regulation of circadian rhythm;response to cytokinin;response to red light;cytokinin-activated signaling pathway;red or far-red light signaling pathway;regulation of DNA-templated transcription;nucleus;cytoplasm;nucleus;DNA-binding transcription factor activity;phosphorelay response regulator activity;protein binding;protein serine/threonine kinase activity;sequence-specific DNA binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;root vascular system;seed;sepal;shoot apical meristem;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2180444	AT5G20630	protein_coding	Encodes a germin-like protein. Its transcripts are more abundant in RNA from leaves collected in the evening; suggesting some kind of circadian regulation.	ABL2;ABP-LIKE 2;ARABIDOPSIS THALIANA GERMIN 3;ATGER3;GER3;GERMIN 3;GERMIN-LIKE PROTEIN 3;GLP3;GLP3A;GLP3B	peptidyl-cysteine S-nitrosylation;apoplast;extracellular matrix;apoplast;extracellular matrix;extracellular region;nucleus;plant-type cell wall;plastid;secretory vesicle;auxin binding;auxin receptor activity;receptor tyrosine kinase binding;oxalate oxidase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seedling development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;juvenile vascular leaf;leaf apex;leaf lamina base;petal;petiole;phloem;plant embryo;rosette leaf;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2096164	AT3G54340	protein_coding	MADS-box transcription factor that functions as a B-class floral organ identity gene; specifying petal and stamen identity. AP3 forms an obligate heterodimer with PISTILLATA (PI) that binds CArG-box cis-regulatory elements to activate or repress target gene transcription, and assembles into higher-order "floral quartet" complexes with SEPALLATA and other MADS-domain proteins. AP3 expression is established by upstream regulators including LEAFY and UFO and is subsequently maintained through positive autoregulation by the AP3/PI heterodimer.	AP3;APETALA 3;ATAP3	specification of floral organ identity;petal development;regulation of transcription by RNA polymerase II;specification of floral organ identity;stamen development;nucleus;nucleus;DNA-binding transcription factor activity;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;androecium development stage;corolla development stage;floral organ differentiation stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;collective leaf structure;flower;inflorescence flower pedicel;petal;plant embryo;pollen;seed;sepal;shoot axis apex;stamen;flower meristem,
Locus:3685310	NOT	unknown	NOT is a QTL on chromosome 2 affecting the period circadian rhythm. The Cape Verdi Islands (Cvi) allele has a shortening of period relative to Ler allele.	NON TROPPO;NOT	regulation of circadian rhythm;cellular_component;molecular_function,
Locus:2005511	AT4G25420	protein_coding	Encodes gibberellin 20-oxidase that is involved in the later steps of the gibberellin biosynthetic pathway. Regulated by a circadian clock. Weak expression response to far red light.	ARABIDOPSIS THALIANA GIBBERELLIN 20-OXIDASE 1;AT2301;ATGA20OX1;GA REQUIRING 5;GA20OX1;GA5;gibberellin 20 oxidase 1	flower development;gibberellic acid mediated signaling pathway;gibberellin biosynthetic process;leaf development;response to gibberellin;short-day photoperiodism, flowering;unidimensional cell growth;gibberellin biosynthetic process;response to light stimulus;cytoplasm;gibberellin 20-oxidase activity;flowering stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;carpel;flower;guard cell;inflorescence;inflorescence meristem;leaf apex;petal;pollen;seed;shoot system,
Locus:2158207	AT5G67380	protein_coding	Casein kinase II (CK2) catalytic subunit (alpha 1). One known substrate of CK2 is Phytochrome Interacting Factor 1 (PIF1). CK2-mediated phosphorylation enhances the light-induced degradation of PIF1 to promote photomorphogenesis.	ATCKA1;CASEIN KINASE ALPHA 1;CKA1	DNA damage response;DNA repair;chromatin organization;circadian rhythm;regulation of cell cycle;response to UV-C;response to gamma radiation;DNA damage response;regulation of cell cycle;regulation of circadian rhythm;cytosol;nucleus;nucleolus;nucleus;protein kinase CK2 complex;kinase activity;protein binding;protein serine/threonine kinase activity;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2176197	AT5G51200	protein_coding	Originally identified as EDS4; enhanced disease sensitive phenotype and subsequently cloned and identified as NUCLEOPORIN205. Affects circadian clock and downstream genes including those involved in defense response.	EDS4;EMB3142;EMBRYO DEFECTIVE 3142;ENHANCED DISEASE SUCEPTIBILITY4	circadian regulation of gene expression;induced systemic resistance;response to bacterium;systemic acquired resistance, salicylic acid mediated signaling pathway;nuclear envelope;nucleus;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2196759	AT1G69830	protein_coding	Encodes a plastid-localized &#945;-amylase. Expression is reduced in the SEX4 mutant. Loss of function mutations show normal diurnal pattern of starch accumulation/degradation.  Expression follows circadian rhythms.	ALPHA-AMYLASE-LIKE 3;AMY3;ATAMY3	starch catabolic process;sucrose catabolic process;chloroplast;chloroplast stroma;extracellular region;alpha-amylase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;fruit;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2045339	AT2G23070	protein_coding	Encodes a chloroplast localized subunit of casien kinase4. Functions reduntantly with other alpha subunits (1; 2,and 3) in ABA mediated suppression of seed germination, lateral root development and flowering time.	CASEIN KINASE 2;CK2 ALPHA CP;CKA4;CPCK2;PCK2	cellular response to abscisic acid stimulus;negative regulation of seed germination;phosphorylation;DNA damage response;chloroplast-nucleus signaling pathway;regulation of cell cycle;regulation of growth;regulation of photoperiodism, flowering;cytosol;nucleus;chloroplast;nucleus;protein kinase CK2 complex;kinase activity;protein serine/threonine kinase activity;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2045349	AT2G23080	protein_coding	Protein kinase superfamily protein;(source:Araport11)	CASEIN KINASE II, ALPHA CHAIN 3;CKA3	DNA damage response;DNA repair;chromatin organization;circadian rhythm;regulation of cell cycle;response to UV-C;response to gamma radiation;DNA damage response;regulation of cell cycle;regulation of circadian rhythm;cytosol;nucleus;cytoplasm;nucleolus;nucleus;protein kinase CK2 complex;protein binding;protein serine/threonine kinase activity;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2083148	AT3G50000	protein_coding	Encodes the casein kinase II (CK2) catalytic subunit (alpha).	ATCKA2;CKA2;casein kinase II, alpha chain 2	DNA damage response;DNA repair;chromatin organization;circadian rhythm;phosphorylation;protein phosphorylation;regulation of cell cycle;response to UV-C;response to gamma radiation;DNA damage response;regulation of cell cycle;regulation of circadian rhythm;cytosol;nucleus;nucleolus;nucleus;protein kinase CK2 complex;kinase activity;protein binding;protein serine/threonine kinase activity;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2165341	AT5G51810	protein_coding	Encodes gibberellin 20-oxidase. Involved in gibberellin biosynthesis. Up-regulated by far red light in elongating petioles. Not regulated by a circadian clock. Mutation of GA20ox2 delays flowering.	AT2353;ATGA20OX2;GA20OX2;GIBBERELLIN 20 OXIDASE 2	flower development;gibberellin biosynthetic process;response to gibberellin;response to red or far red light;unidimensional cell growth;gibberellin biosynthetic process;response to light stimulus;cytoplasm;gibberellin 20-oxidase activity;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;collective leaf structure;flower;fruit;hypocotyl;inflorescence;inflorescence flower pedicel;petal;plant embryo;plant ovule outer integument;pollen;pollen tube cell;seed;sepal,
Locus:3685366	RAL	unknown	QTL located at the bottom of chromosome 5 (about 95 cM) that affects the circadian period of leaf movement in two Arabidopsis RIL populations (Ler/Cvi). It is not allelic to TOC1.	RAL;RALENTANDO	circadian rhythm;cellular_component;molecular_function,
Locus:2148333	AT5G59560	protein_coding	Encodes a novel protein conserved in higher eukaryotes. Normal function of the protein is required for normal oscillator function during circadian rhythm. Mutant analyses also suggest a role in phytochrome B (phyB)-mediated light signaling.	SENSITIVITY TO RED LIGHT REDUCED 1;SRR1	red, far-red light phototransduction;regulation of circadian rhythm;circadian rhythm;red or far-red light signaling pathway;cytoplasm;nucleus;cytoplasm;nucleus;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2090837	AT3G26740	protein_coding	transcripts are  differentially regulated at the level of mRNA stability at different times of day controlled by the circadian clock. mRNAs are targets of the mRNA degradation pathway mediated by the downstream (DST) instability determinant.	CCL;CCR-LIKE	circadian rhythm;chloroplast;cytosol;chloroplast thylakoid membrane protein complex;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2138728	AT4G08920	protein_coding	Encodes CRY1; a flavin-type blue-light photoreceptor with ATP binding and autophosphorylation activity. Functions in perception of blue / green ratio of light.  The photoreceptor may be involved in electron transport. Mutant phenotype displays a blue light-dependent inhibition of hypocotyl elongation. Photoreceptor activity requires light-induced homodimerisation of the N-terminal CNT1 domains of CRY1. Involved in blue-light induced stomatal opening. The C-terminal domain of the protein undergoes a light dependent conformational change.  Also involved in response to circadian rhythm. Mutants exhibit long hypocotyl under blue light and are out of phase in their response to circadian rhythm.  CRY1 is present in the nucleus and cytoplasm.  Different subcellular pools of CRY1 have different functions during photomorphogenesis of Arabidopsis seedlings.	ATCRY1;BLU1;BLUE LIGHT UNINHIBITED 1;CRY1;CRYPTOCHROME 1;ELONGATED HYPOCOTYL 4;HY4;OOP2;OUT OF PHASE 2	anthocyanin-containing compound metabolic process;blue light signaling pathway;circadian regulation of calcium ion oscillation;circadian rhythm;detection of light stimulus;photomorphogenesis;phototropism;protein autophosphorylation;regulation of gene expression;regulation of meristem growth;regulation of secondary cell wall biogenesis;regulation of unidimensional cell growth;response to blue light;response to light stimulus;response to water deprivation;singlet oxygen-mediated programmed cell death;stomatal movement;anthocyanin-containing compound metabolic process;auxin transport;circadian regulation of gene expression;circadian rhythm;entrainment of circadian clock by photoperiod;flavin adenine dinucleotide metabolic process;negative regulation of lateral root development;photoprotection;phototropism;plant organ development;positive regulation of anion channel activity;positive regulation of defense response to bacterium;positive regulation of shade avoidance;positive regulation of systemic acquired resistance;protein autophosphorylation;regulation of circadian rhythm;regulation of hydrogen peroxide metabolic process;regulation of leaf morphogenesis;regulation of reactive oxygen species metabolic process;response to absence of light;response to blue light;response to far red light;response to high light intensity;response to light stimulus;response to low fluence blue light stimulus by blue low-fluence system;response to magnetism;response to red light;response to strigolactone;response to temperature stimulus;stomatal movement;cytoplasm;nucleus;cytoplasm;cytosol;nuclear body;nucleus;ATP binding;DNA binding;FAD binding;blue light photoreceptor activity;deoxyribodipyrimidine photo-lyase activity;identical protein binding;kinase activity;protein binding;protein homodimerization activity;protein kinase activity;protein-RNA adaptor activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;fruit;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf;plant fiber cell,
Locus:2203028	AT1G09340	protein_coding	Encodes CHLOROPLAST RNA BINDING (CRB); a putative RNA-binding protein.  CRB is important for the proper functioning of the chloroplast.  Mutations in CRB also affects the circadian system, altering the expression of both oscillator and output genes.	CHLOROPLAST RNA BINDING;CHLOROPLAST STEM-LOOP BINDING PROTEIN OF  41 KDA;CRB;CSP41B;HIP1.3;heteroglycan-interacting protein 1.3	chloroplast organization;circadian rhythm;rRNA processing;response to cold;peptidyl-cysteine S-nitrosylation;cellular response to water deprivation;monosaccharide metabolic process;plastid translation;positive regulation of DNA-templated transcription;positive regulation of translation;regulation of gene expression;response to wounding;cytosol;Golgi apparatus;apoplast;chloroplast;chloroplast envelope;chloroplast stroma;cytosol;extracellular region;peroxisome;plant-type vacuole;plasmodesma;plastoglobule;ribosome;stromule;plastid-encoded plastid RNA polymerase complex;DNA binding;RNA binding;heteropolysaccharide binding;mRNA binding;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seedling development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;fruit;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;juvenile vascular leaf;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;rosette leaf;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2205319	AT1G13260	protein_coding	Encodes an AP2/B3 domain transcription factor which is upregulated in response to low temperature. It contains a B3 DNA binding domain. It has circadian regulation and may function as a negative growth regulator.	ATRAV1;EDF4;ETHYLENE RESPONSE DNA BINDING FACTOR 4;RAV1;RELATED TO ABI3/VP1 1	cellular response to hypoxia;lateral root development;leaf development;negative regulation of DNA-templated transcription;negative regulation of flower development;response to brassinosteroid;negative regulation of DNA-templated transcription;photoperiodism, flowering;nucleus;nucleus;DNA binding;DNA-binding transcription factor activity;transcription cis-regulatory region binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2025911	AT1G59940	protein_coding	Type A response regulator highly similar to bacterial two-component response regulators. Rapidly induced by cytokinin. Involved in red-light signaling. Acts redundantly with ARR3 in the control of circadian period in a cytokinin-independent manner.	ARR3;RESPONSE REGULATOR 3	circadian rhythm;cytokinin-activated signaling pathway;phosphorelay signal transduction system;red light signaling pathway;regulation of DNA-templated transcription;regulation of circadian rhythm;response to cytokinin;response to red light;cytokinin-activated signaling pathway;red or far-red light signaling pathway;regulation of DNA-templated transcription;nucleus;chloroplast;cytoplasm;nucleus;DNA-binding transcription factor activity;phosphorelay response regulator activity;protein binding;sequence-specific DNA binding;petal differentiation and expansion stage;flower;guard cell;root;root vascular system;shoot apical meristem,
Locus:2045243	AT2G31870	protein_coding	The gene encodes a poly(ADPribose) glycohydrolase (PARG1). Mutant analysis suggests that PARG1 plays a role in abiotic stress responses and DNA repair. Loss of function mutants accumulate poly(ADPribose) and have increased cell death when treated with bleomycin.	ATPARG1;PARG1;Sanskrit for 'bright';TEJ;poly(ADP-ribose) glycohydrolase 1	DNA damage response;defense response to fungus;regulation of DNA repair;response to osmotic stress;response to oxidative stress;response to water deprivation;stomatal closure;ATP generation from poly-ADP-D-ribose;nucleotide-sugar metabolic process;regulation of DNA repair;cytoplasm;nucleus;nucleus;poly(ADP-ribose) glycohydrolase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;root meristem;seed;sepal;shoot apical meristem;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2164416	AT5G64170	protein_coding	LNK1 is a member of a small family (4 proteins) in Arabidopsis that have some overlap in function. LNK1  functions in the integration of light signaling and circadian clock. It is regulated by  the clock TOC1 complex.Functions as a transcriptional coactivator.	LNK1;NIGHT LIGHT-INDUCIBLE AND CLOCK-REGULATED GENE 1	DNA-templated transcription elongation;circadian regulation of gene expression;entrainment of circadian clock;DNA-templated transcription elongation;circadian regulation of gene expression;circadian rhythm;regulation of DNA-templated transcription;nucleus;nucleus;RNA polymerase binding;protein binding;transcription coregulator activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;inflorescence flower pedicel;inflorescence meristem;leaf lamina base;petal;plant embryo;pollen;seed;sepal;shoot axis apex;stamen;stem;vascular leaf,
Locus:2092940	AT3G21150	protein_coding	Encodes a protein with a B-box domain predicted to act as a transcription factor. Expression of the BBX32 gene is affected by monochromatic red light. Genetic analysis shows BBX32 is under circadian control; it is a morning gene under clock regulation.	ATBBX32;B-box domain protein 32;BBX32;EIP6;EMF1-Interacting Protein 6	blue light signaling pathway;negative regulation of DNA-templated transcription;photomorphogenesis;red or far-red light signaling pathway;regulation of DNA-templated transcription;regulation of flower development;regulation of DNA-templated transcription;nucleus;cytoplasm;nucleus;DNA-binding transcription factor activity;protein binding;transcription cis-regulatory region binding;transcription coregulator activity;guard cell,
Locus:2096981	AT3G54500	protein_coding	Member of a small family (4 proteins) in Arabidopsis that have some overlap in function. LNK2 along with LNK1  functions in the integration of light signaling and circadian clock. It is regulated by  the clock TOC1 complex. Functions as a transcriptional coactivator.	LNK2;NIGHT LIGHT-INDUCIBLE AND CLOCK-REGULATED GENE 2	circadian regulation of gene expression;entrainment of circadian clock;DNA-templated transcription elongation;circadian regulation of gene expression;nucleus;nucleus;protein binding;transcription coregulator activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2161278	AT5G58350	protein_coding	Encodes a member of the WNK family (9 members in all) of protein kinases; the structural design of which is clearly distinct from those of other known protein kinases, such as receptor-like kinases and mitogen-activated protein kinases. Its transcription is under the control of circadian rhythms.	WNK4;ZIK2;with no lysine (K) kinase 4	protein autophosphorylation;protein phosphorylation;intracellular signal transduction;cytoplasm;cytoplasm;nucleus;protein kinase activity;protein serine/threonine kinase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2042431	AT2G44680	protein_coding	Encodes casein kinase II beta chain; a CK2 regulatory subunit. Nuclear-localized CKB4 protein exists in vivo as different isoforms, resulting from phosphorylation on serine residues. The phosphorylated isoforms are the preferred substrate for ubiquitination and degradation by the proteasome pathway. Involved in regulation of circadian clock.	CKB4;casein kinase II  beta subunit 4	circadian rhythm;photoperiodism, flowering;positive regulation of circadian rhythm;protein ubiquitination;cytoplasm;cytoplasm;cytosol;nucleus;protein kinase CK2 complex;protein binding;protein kinase regulator activity;protein serine/threonine kinase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2087857	AT3G22420	protein_coding	Encodes a member of the WNK family (9 members in all) of protein kinases; the structural design of which is clearly distinct from those of other known protein kinases, such as receptor-like kinases and mitogen-activated protein kinases.  Its transcription is under the control of circadian rhythms.	ARABIDOPSIS THALIANA WITH NO K 2;ATWNK2;WNK2;ZIK3;with no lysine (K) kinase 2	photoperiodism, flowering;protein phosphorylation;intracellular signal transduction;cytoplasm;cytoplasm;nucleus;protein kinase activity;protein serine/threonine kinase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
